Time	variable	value	Season
5.53333333333333	SWA	NA	Dec
5.6	SWA	NA	Dec
5.66666666666667	SWA	NA	Dec
5.73333333333333	SWA	NA	Dec
5.8	SWA	NA	Dec
5.86666666666667	SWA	NA	Dec
5.93333333333333	SWA	NA	Dec
6	SWA	NA	Dec
6.06666666666667	SWA	NA	Dec
6.13333333333333	SWA	NA	Dec
6.2	SWA	NA	Dec
6.26666666666667	SWA	NA	Dec
6.33333333333333	SWA	NA	Dec
6.4	SWA	NA	Dec
6.46666666666667	SWA	NA	Dec
6.53333333333333	SWA	NA	Dec
6.6	SWA	NA	Dec
6.66666666666667	SWA	NA	Dec
6.73333333333333	SWA	NA	Dec
6.8	SWA	NA	Dec
6.86666666666667	SWA	NA	Dec
6.93333333333333	SWA	NA	Dec
7	SWA	NA	Dec
7.06666666666667	SWA	NA	Dec
7.13333333333333	SWA	NA	Dec
7.2	SWA	NA	Dec
7.26666666666667	SWA	NA	Dec
7.33333333333333	SWA	NA	Dec
7.4	SWA	NA	Dec
7.46666666666667	SWA	NA	Dec
7.53333333333333	SWA	NA	Dec
7.6	SWA	NA	Dec
7.66666666666667	SWA	NA	Dec
7.73333333333333	SWA	NA	Dec
7.8	SWA	NA	Dec
7.86666666666667	SWA	NA	Dec
7.93333333333333	SWA	NA	Dec
8	SWA	NA	Dec
8.06666666666667	SWA	NA	Dec
8.13333333333333	SWA	NA	Dec
8.2	SWA	NA	Dec
8.26666666666667	SWA	NA	Dec
8.33333333333333	SWA	NA	Dec
8.4	SWA	NA	Dec
